content_id,hub_id,pattern_id,case_summary,region,district,building_type,service,primary_keyword,related_topics,symptom,cause,equipment,hero_image,diagnosis_image,cause_image,work_image,result_image,publication_status,channel,content_version,last_reviewed
HUB-GWANGJU-GWANGSANGU-PAT-003,gwangju-gwangsangu,PAT-003,공장 공정 특성과 배관 재질을 확인한 뒤 메인 배관을 단계적으로 고압세척하는 표준 작업 흐름입니다.,광주 광산구,,공장·산업시설,공장 메인 배관 막힘,광주광산구공장메인배관막힘,"생산라인·바닥 배수구 동시 배수 지연 | 공정 슬러지·침전물·분진·유분 축적 | 관로 점검 장비, 산업용 고압세척",생산라인·바닥 배수구 동시 배수 지연,공정 슬러지·침전물·분진·유분 축적,"관로 점검 장비, 산업용 고압세척",IMG-028,IMG-029,IMG-030,IMG-031,IMG-033,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-GWANGJU-GWANGSANGU-PAT-005,gwangju-gwangsangu,PAT-005,압력시험으로 누수 계통을 확인하고 가스·청음·열화상 결과를 종합해 최소 범위 보수 후 재검증하는 표준 흐름입니다.,광주 광산구,,아파트,아파트 난방배관 누수,광주광산구아파트난방배관누수,"보일러 압력 저하·보충수 반복·아랫집 천장 물샘 | 난방배관 미세누수 또는 연결 부위 손상 | 압력시험기, 가스탐지기, 청음기, 열화상 장비",보일러 압력 저하·보충수 반복·아랫집 천장 물샘,난방배관 미세누수 또는 연결 부위 손상,"압력시험기, 가스탐지기, 청음기, 열화상 장비",IMG-060,IMG-061,IMG-062,IMG-063,IMG-065,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-GWANGJU-DONGGU-PAT-001,gwangju-donggu,PAT-001,상가 주방 배관에 축적된 유지방을 내시경으로 확인하고 플렉스샤프트와 석션으로 제거하는 표준 작업 흐름입니다.,광주 동구,,상가,상가 싱크대 역류,광주동구상가싱크대역류,"싱크대 배수 지연·역류·악취 | 유지방과 음식물 슬러지 축적 | 배관내시경, 플렉스샤프트, 석션, 필요 시 고압세척",싱크대 배수 지연·역류·악취,유지방과 음식물 슬러지 축적,"배관내시경, 플렉스샤프트, 석션, 필요 시 고압세척",IMG-001,IMG-002,IMG-003,IMG-004,IMG-006,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-GWANGJU-DONGGU-PAT-004,gwangju-donggu,PAT-004,맨홀 내부 오수를 석션으로 정리한 뒤 연결 오수관을 고압세척하고 시험 배수하는 표준 작업 흐름입니다.,광주 동구,,단독·다가구주택,주택 외부 맨홀 넘침,광주동구주택외부맨홀넘침,"외부 맨홀 수위 상승·오수 넘침·악취 | 토사·생활 슬러지·낙엽·오수관 침전물 축적 | 석션, 배관 점검 장비, 고압세척",외부 맨홀 수위 상승·오수 넘침·악취,토사·생활 슬러지·낙엽·오수관 침전물 축적,"석션, 배관 점검 장비, 고압세척",IMG-041,IMG-042,IMG-043,IMG-044,IMG-046,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-GWANGJU-DONGGU-PAT-005,gwangju-donggu,PAT-005,압력시험으로 누수 계통을 확인하고 가스·청음·열화상 결과를 종합해 최소 범위 보수 후 재검증하는 표준 흐름입니다.,광주 동구,,아파트,아파트 난방배관 누수,광주동구아파트난방배관누수,"보일러 압력 저하·보충수 반복·아랫집 천장 물샘 | 난방배관 미세누수 또는 연결 부위 손상 | 압력시험기, 가스탐지기, 청음기, 열화상 장비",보일러 압력 저하·보충수 반복·아랫집 천장 물샘,난방배관 미세누수 또는 연결 부위 손상,"압력시험기, 가스탐지기, 청음기, 열화상 장비",IMG-060,IMG-061,IMG-062,IMG-063,IMG-065,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-NAJU-PAT-001,naju,PAT-001,상가 주방 배관에 축적된 유지방을 내시경으로 확인하고 플렉스샤프트와 석션으로 제거하는 표준 작업 흐름입니다.,나주,,상가,상가 싱크대 역류,나주상가싱크대역류,"싱크대 배수 지연·역류·악취 | 유지방과 음식물 슬러지 축적 | 배관내시경, 플렉스샤프트, 석션, 필요 시 고압세척",싱크대 배수 지연·역류·악취,유지방과 음식물 슬러지 축적,"배관내시경, 플렉스샤프트, 석션, 필요 시 고압세척",IMG-001,IMG-002,IMG-003,IMG-004,IMG-006,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-NAJU-PAT-002,naju,PAT-002,공용 메인 오수관 내부를 내시경으로 진단하고 고압세척 후 세대별 배수 상태를 재확인하는 표준 흐름입니다.,나주,,아파트,아파트 메인 오수관 역류,나주아파트메인오수관역류,"여러 배수구 또는 세대의 동시 역류 | 공용 오수관의 생활 슬러지·물티슈·침전물 축적 | 배관내시경, 관로 확인 장비, 고압세척",여러 배수구 또는 세대의 동시 역류,공용 오수관의 생활 슬러지·물티슈·침전물 축적,"배관내시경, 관로 확인 장비, 고압세척",IMG-014,IMG-015,IMG-016,IMG-017,IMG-019,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-NAJU-PAT-005,naju,PAT-005,압력시험으로 누수 계통을 확인하고 가스·청음·열화상 결과를 종합해 최소 범위 보수 후 재검증하는 표준 흐름입니다.,나주,,아파트,아파트 난방배관 누수,나주아파트난방배관누수,"보일러 압력 저하·보충수 반복·아랫집 천장 물샘 | 난방배관 미세누수 또는 연결 부위 손상 | 압력시험기, 가스탐지기, 청음기, 열화상 장비",보일러 압력 저하·보충수 반복·아랫집 천장 물샘,난방배관 미세누수 또는 연결 부위 손상,"압력시험기, 가스탐지기, 청음기, 열화상 장비",IMG-060,IMG-061,IMG-062,IMG-063,IMG-065,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-DAMYANG-PAT-001,damyang,PAT-001,상가 주방 배관에 축적된 유지방을 내시경으로 확인하고 플렉스샤프트와 석션으로 제거하는 표준 작업 흐름입니다.,담양,,상가,상가 싱크대 역류,담양상가싱크대역류,"싱크대 배수 지연·역류·악취 | 유지방과 음식물 슬러지 축적 | 배관내시경, 플렉스샤프트, 석션, 필요 시 고압세척",싱크대 배수 지연·역류·악취,유지방과 음식물 슬러지 축적,"배관내시경, 플렉스샤프트, 석션, 필요 시 고압세척",IMG-001,IMG-002,IMG-003,IMG-004,IMG-006,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-DAMYANG-PAT-004,damyang,PAT-004,맨홀 내부 오수를 석션으로 정리한 뒤 연결 오수관을 고압세척하고 시험 배수하는 표준 작업 흐름입니다.,담양,,단독·다가구주택,주택 외부 맨홀 넘침,담양주택외부맨홀넘침,"외부 맨홀 수위 상승·오수 넘침·악취 | 토사·생활 슬러지·낙엽·오수관 침전물 축적 | 석션, 배관 점검 장비, 고압세척",외부 맨홀 수위 상승·오수 넘침·악취,토사·생활 슬러지·낙엽·오수관 침전물 축적,"석션, 배관 점검 장비, 고압세척",IMG-041,IMG-042,IMG-043,IMG-044,IMG-046,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-DAMYANG-PAT-005,damyang,PAT-005,압력시험으로 누수 계통을 확인하고 가스·청음·열화상 결과를 종합해 최소 범위 보수 후 재검증하는 표준 흐름입니다.,담양,,아파트,아파트 난방배관 누수,담양아파트난방배관누수,"보일러 압력 저하·보충수 반복·아랫집 천장 물샘 | 난방배관 미세누수 또는 연결 부위 손상 | 압력시험기, 가스탐지기, 청음기, 열화상 장비",보일러 압력 저하·보충수 반복·아랫집 천장 물샘,난방배관 미세누수 또는 연결 부위 손상,"압력시험기, 가스탐지기, 청음기, 열화상 장비",IMG-060,IMG-061,IMG-062,IMG-063,IMG-065,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-HWASUN-PAT-002,hwasun,PAT-002,공용 메인 오수관 내부를 내시경으로 진단하고 고압세척 후 세대별 배수 상태를 재확인하는 표준 흐름입니다.,화순,,아파트,아파트 메인 오수관 역류,화순아파트메인오수관역류,"여러 배수구 또는 세대의 동시 역류 | 공용 오수관의 생활 슬러지·물티슈·침전물 축적 | 배관내시경, 관로 확인 장비, 고압세척",여러 배수구 또는 세대의 동시 역류,공용 오수관의 생활 슬러지·물티슈·침전물 축적,"배관내시경, 관로 확인 장비, 고압세척",IMG-014,IMG-015,IMG-016,IMG-017,IMG-019,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-HWASUN-PAT-004,hwasun,PAT-004,맨홀 내부 오수를 석션으로 정리한 뒤 연결 오수관을 고압세척하고 시험 배수하는 표준 작업 흐름입니다.,화순,,단독·다가구주택,주택 외부 맨홀 넘침,화순주택외부맨홀넘침,"외부 맨홀 수위 상승·오수 넘침·악취 | 토사·생활 슬러지·낙엽·오수관 침전물 축적 | 석션, 배관 점검 장비, 고압세척",외부 맨홀 수위 상승·오수 넘침·악취,토사·생활 슬러지·낙엽·오수관 침전물 축적,"석션, 배관 점검 장비, 고압세척",IMG-041,IMG-042,IMG-043,IMG-044,IMG-046,hub-linked,homepage,SSOS V5.0,2026-07-25
HUB-HWASUN-PAT-005,hwasun,PAT-005,압력시험으로 누수 계통을 확인하고 가스·청음·열화상 결과를 종합해 최소 범위 보수 후 재검증하는 표준 흐름입니다.,화순,,아파트,아파트 난방배관 누수,화순아파트난방배관누수,"보일러 압력 저하·보충수 반복·아랫집 천장 물샘 | 난방배관 미세누수 또는 연결 부위 손상 | 압력시험기, 가스탐지기, 청음기, 열화상 장비",보일러 압력 저하·보충수 반복·아랫집 천장 물샘,난방배관 미세누수 또는 연결 부위 손상,"압력시험기, 가스탐지기, 청음기, 열화상 장비",IMG-060,IMG-061,IMG-062,IMG-063,IMG-065,hub-linked,homepage,SSOS V5.0,2026-07-25
